"코드","종목명","액면가"
"239610","에이치엘사이언스","500"
"128660","피제이메탈","500"
"043910","자연과환경","500"
"051490","나라엠앤디","500"
"260660","알리코제약","500"
"049430","코메론","500"
"041460","한국전자인증","500"
"122690","서진오토모티브","500"
"353590","오토앤","500"
"087600","픽셀플러스","500"
"438700","버넥트","500"
"348080","큐라티스","500"
"096350","대창솔루션","100"
"101170","우림피티에스","500"
"039240","경남스틸","100"
"227950","엔투텍","100"
"352700","씨앤투스","500"
"314140","알피바이오","500"
"430690","한싹","500"
"032680","소프트센","200"
"024800","유성티엔에스","500"
"101330","모베이스","500"
"150900","파수","500"
"105740","디케이락","500"
"015710","코콤","500"
"010170","대한광통신","500"
"129920","대성하이텍","100"
"100590","머큐리","500"
"104200","NHN벅스","500"
"222160","NPX","500"
"303030","지니틱스","100"
"043260","성호전자","500"
"270870","뉴트리","500"
